question,query,some_tables_in_query,only_relevant_tables,no_relevant_tables,founded_tables,method
Wie hoch ist die Gesamtzahl der Sängerinnen und Sänger?,SELECT count(*) FROM singer,True,False,False,['singer'],cross-encoder
"Zeigen Sie Name, Land, Alter für alle Sängerinnen und Sänger, geordnet nach Alter vom ältesten bis zum jüngsten.","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",True,False,False,"['country', 'singer']",cross-encoder
"Wie lauten die Namen, Länder und das Alter aller Sängerinnen und Sänger in absteigender Reihenfolge des Alters?","SELECT name ,  country ,  age FROM singer ORDER BY age DESC",True,False,False,"['countries', 'singer']",cross-encoder
"Was ist das Durchschnitts-, Mindest- und Höchstalter aller Sängerinnen und Sänger aus Frankreich?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",True,False,False,['singer'],cross-encoder
"Was ist das Durchschnitts-, Mindest- und Höchstalter für alle französischen Sängerinnen und Sänger?","SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",True,False,False,['singer'],cross-encoder
Zeigen Sie den Namen und das Erscheinungsjahr des Liedes der jüngsten Sängerin oder des jüngsten Sängers an.,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",True,False,False,['singer'],cross-encoder
Wie lauten die Namen und Erscheinungsjahre aller Lieder der jüngsten Sängerin oder des jüngsten Sängers?,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",False,False,False,['Songs'],cross-encoder
Aus welchen verschiedenen Ländern kommen die Sängerinnen und Sänger über 20 Jahren?,SELECT DISTINCT country FROM singer WHERE age  >  20,True,False,False,['singer'],cross-encoder
Was sind die verschiedenen Länder mit Sängerinnen und Sängern über 20 Jahren?,SELECT DISTINCT country FROM singer WHERE age  >  20,False,False,False,['countries'],cross-encoder
Zeigen Sie alle Länder und die Anzahl der Sängerinnen und Sänger in jedem Land an.,"SELECT country ,  count(*) FROM singer GROUP BY country",True,False,False,"['countries', 'singer', 'country']",cross-encoder
Wie viele Sängerinnen und Sänger kommen aus jedem Land?,"SELECT country ,  count(*) FROM singer GROUP BY country",True,False,False,"['singer', 'country']",cross-encoder
Liste der Namen aller Lieder von Sängerinnen und Sängern über dem Durchschnittsalter.,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),False,False,False,"['list', 'Songs']",cross-encoder
"Wie lauten die Namen aller Lieder von Sängerinnen und Sängern, die älter als der Durchschnitt sind?",SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),False,False,False,['Songs'],cross-encoder
Zeigen Sie Standort und Namen aller Stadien mit einer Kapazität zwischen 5000 und 10000 an.,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",True,False,False,"['Locations', 'LOCATION']",cross-encoder
Wie lauten die Standorte und Namen aller Stationen mit einer Kapazität zwischen 5000 und 10000?,"SELECT LOCATION ,  name FROM stadium WHERE capacity BETWEEN 5000 AND 10000",True,False,False,"['Locations', 'LOCATION']",cross-encoder
Wie lautet der Name und die Kapazität des Stadions mit der höchsten durchschnittlichen Besucherzahl?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",True,False,False,['stadium'],cross-encoder
Wie lautet der Name und die Kapazität des Stadions mit der höchsten durchschnittlichen Besucherzahl?,"SELECT name ,  capacity FROM stadium ORDER BY average DESC LIMIT 1",True,False,False,['stadium'],cross-encoder
Wie viele Konzerte gibt es im Jahr 2014 oder 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,True,False,False,['concert'],cross-encoder
Wie viele Konzerte aufgetreten 2014 oder 2015?,SELECT count(*) FROM concert WHERE YEAR  =  2014 OR YEAR  =  2015,True,False,False,['concert'],cross-encoder
Zeigen Sie den Stadionnamen und die Anzahl der Konzerte in jedem Stadion an.,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",True,False,False,"['concert', 'stadium']",cross-encoder
Wie viele Konzerte gibt es für jedes Stadion?,"SELECT T2.name ,  count(*) FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id GROUP BY T1.stadium_id",True,False,False,"['concert', 'stadium']",cross-encoder
Zeigen Sie den Namen und die Kapazität des Stadions mit den meisten Konzerten im Jahr 2014 oder danach.,"SELECT T2.name ,  T2.capacity FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  >=  2014 GROUP BY T2.stadium_id ORDER BY count(*) DESC LIMIT 1",True,False,False,"['stadium', 'concert']",cross-encoder
Wie heißt das Stadion mit den meisten Konzerten nach 2013?,"select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1",True,False,False,"['stadium', 'concert']",cross-encoder
In welchem Jahr gibt es die meisten Konzerte?,SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,True,False,False,['concert'],cross-encoder
"Was ist das Jahr, das die meisten Konzerte hat?",SELECT YEAR FROM concert GROUP BY YEAR ORDER BY count(*) DESC LIMIT 1,True,False,False,['concert'],cross-encoder
Zeigen die Stadionnamen ohne Konzert.,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),True,False,False,['concert'],cross-encoder
Wie heißen die Stadien ohne Konzerte?,SELECT name FROM stadium WHERE stadium_id NOT IN (SELECT stadium_id FROM concert),True,False,False,['concert'],cross-encoder
"Zeigen Sie Länder, aus denen eine Sängerin oder ein Sänger über 40 und eine Sängerin oder ein Sänger unter 30 stammen.",SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,True,False,False,"['countries', 'singer', 'singer']",cross-encoder
"Zeige Namen für alle Stadien mit Ausnahme von Stadien, die im Jahr 2014 ein Konzert haben.",SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,True,False,False,['concert'],cross-encoder
"Wie heißen alle Stadien, die 2014 kein Konzert hatten?",SELECT name FROM stadium EXCEPT SELECT T2.name FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.year  =  2014,True,False,False,['concert'],cross-encoder
Zeigen Sie den Namen und das Thema aller Konzerte sowie die Anzahl der Sängerinnen und Sänger in jedem Konzert an.,"SELECT T2.concert_name ,  T2.theme ,  count(*) FROM singer_in_concert AS T1 JOIN concert AS T2 ON T1.concert_id  =  T2.concert_id GROUP BY T2.concert_id",True,False,False,"['concert', 'singer', 'concert']",cross-encoder
"Wie lauten die Namen, Themen und die Anzahl der Sängerinnen und Sänger für jedes Konzert?","select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id",True,False,False,"['singer', 'concert']",cross-encoder
Listen Sie die Namen von Sängerinnen und Sängern und die Anzahl der Konzerte für jede Sängerin und jeden Sänger auf.,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",True,False,False,"['concert', 'singer']",cross-encoder
Wie lauten die Namen der Sängerin/des Sängers und die Anzahl der Konzerte für jede Person?,"SELECT T2.name ,  count(*) FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id GROUP BY T2.singer_id",True,False,False,"['singer', 'concert']",cross-encoder
Listen Sie alle Sängernamen in Konzerten im Jahr 2014 auf.,SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,True,False,False,['concert'],cross-encoder
"Wie lauten die Namen der Sängerinnen und Sänger, die 2014 in einem Konzert aufgetreten sind?",SELECT T2.name FROM singer_in_concert AS T1 JOIN singer AS T2 ON T1.singer_id  =  T2.singer_id JOIN concert AS T3 ON T1.concert_id  =  T3.concert_id WHERE T3.year  =  2014,True,False,False,"['singer', 'concert']",cross-encoder
"Wie lautet der Name und die Nation des Sängers, der ein Lied mit ""Hey"" im Namen hat?","SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",True,False,False,['song'],cross-encoder
"Wie lautet der Name und die Nation des/der Sänger/in, der/die ein Lied mit ""Hey"" im Namen hat?","SELECT name ,  country FROM singer WHERE song_name LIKE '%Hey%'",True,False,False,['song'],cross-encoder
"Finden Sie die Namen und die Standorte der Stadien, in denen einige Konzerte in den Jahren 2014 und 2015 stattfanden.","SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",True,False,False,"['Locations', 'LOCATION', 'concert']",cross-encoder
"Wie lauten die Namen und Standorte der Stadien, in denen sowohl 2014 als auch 2015 Konzerte stattfanden?","SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2014 INTERSECT SELECT T2.name ,  T2.location FROM concert AS T1 JOIN stadium AS T2 ON T1.stadium_id  =  T2.stadium_id WHERE T1.Year  =  2015",True,False,False,"['Locations', 'LOCATION', 'concert']",cross-encoder
"Finden Sie die Anzahl der Konzerte, die in dem Stadion mit der höchsten Kapazität stattfanden.",select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),True,False,False,"['concert', 'stadium']",cross-encoder
Wie viele Konzerte fanden in dem Stadion mit der größten Kapazität statt ?,select count(*) from concert where stadium_id = (select stadium_id from stadium order by capacity desc limit 1),True,False,False,"['concert', 'stadium']",cross-encoder
"Ermitteln Sie die Anzahl der Haustiere, deren Gewicht schwerer als 10 ist.",SELECT count(*) FROM pets WHERE weight  >  10,True,False,False,['Pets'],cross-encoder
Wie viele Haustiere haben ein größeres Gewicht als 10?,SELECT count(*) FROM pets WHERE weight  >  10,True,False,False,"['Pets', 'Sizes']",cross-encoder
"Finden Sie die Anzahl der Haustiere von Studenten, die älter als 20 Jahre sind.",SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,False,False,False,"['Pets', 'Students']",cross-encoder
"Wie viele Haustiere besitzen Studenten, die älter als 20 Jahre sind?",SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20,False,False,False,"['Pets', 'Students']",cross-encoder
"Ermitteln Sie die Anzahl der Hunde, die von Studentinnen aufgezogen werden (mit Geschlecht W).",SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',False,False,False,"['Dogs', 'Students']",cross-encoder
Wie viele Haushunde werden von Studentinnen aufgezogen?,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog',False,False,False,['Students'],cross-encoder
Wie viele verschiedene Arten von Haustieren gibt es?,SELECT count(DISTINCT pettype) FROM pets,True,False,False,['Pets'],cross-encoder
"Finden Sie den Vornamen von Studierenden, die sowohl Katzen als auch Hunde als Haustiere haben.",select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog',True,False,False,"['Dogs', 'Pets']",cross-encoder
"Wie lauten die Vornamen der Studierenden, die sowohl Katzen als auch Hunde als Haustiere haben?",SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog',True,False,False,"['Dogs', 'Pets']",cross-encoder
"Was sind die IDs der Studierenden, die keine Katzen als Haustiere besitzen?",SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat',True,False,False,['Pets'],cross-encoder
"Ermitteln Sie die ID und das Gewicht aller Haustiere, die älter als 1 Jahr sind.","SELECT petid ,  weight FROM pets WHERE pet_age  >  1",True,False,False,['Pets'],cross-encoder
"Wie lauten die verschiedenen Vornamen und das Alter der Studierenden, die Haustiere haben?","SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid",False,False,False,['Pets'],cross-encoder
"Finden Sie den Ausweis des Haustieres des Studierenden, dessen Nachname ""Smith"" lautet.",SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',False,False,False,['Pets'],cross-encoder
"Was ist die ID des Haustiers, das der Student mit dem Nachnamen ""Smith"" besitzt?",SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith',True,False,False,['Student'],cross-encoder
"Finden Sie die Anzahl der Haustiere für alle Studierenden, die ein Haustier und eine Student-ID haben.","SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid",False,False,False,['Pets'],cross-encoder
"Für Studierende, die Haustiere haben , wie viele Haustiere hat jeder Studierende ? Geben Sie statt der Namen ihre IDs an.","select count(*) ,  t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by t1.stuid",False,False,False,"['Pets', 'Pets']",cross-encoder
"Wie hoch ist das Durchschnittsalter für alle Studierenden, die keine Haustiere besitzen?",select avg(age) from student where stuid not in (select stuid from has_pet),False,False,False,['Pets'],cross-encoder
Wie viele Kontinente gibt es?,SELECT count(*) FROM CONTINENTS;,True,False,False,['continents'],cross-encoder
Wie viele Kontinente gibt es?,SELECT count(*) FROM CONTINENTS;,True,False,False,['continents'],cross-encoder
"Wie viele Länder gibt es auf jedem Kontinent? Geben Sie die Kontinent-ID, den Namen des Kontinents und die Anzahl der Länder an.","SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;",True,False,False,"['countries', 'countries']",cross-encoder
"Geben Sie für jeden Kontinent seine ID, seinen Namen und die Anzahl seiner Länder an.","SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;",True,False,False,"['continents', 'countries']",cross-encoder
Wie viele Länder sind aufgelistet?,SELECT count(*) FROM COUNTRIES;,True,False,False,['countries'],cross-encoder
Wie viele Länder gibt es?,SELECT count(*) FROM COUNTRIES;,True,False,False,['countries'],cross-encoder
"Wie viele Modelle stellt jeder Autohersteller her? Geben Sie den vollständigen Namen, die ID und die Nummer des Herstellers an.","SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;",True,False,False,"['car_makers', 'manufacturer']",cross-encoder
Wie lautet der vollständige Name jedes Autoherstellers mit seiner ID und wie viele Modelle produziert er?,"SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;",True,False,False,['car_makers'],cross-encoder
"Finden Sie die Namen der Autohersteller, die im Jahr 1970 einige Autos hergestellt haben?",SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';,True,False,False,['car_makers'],cross-encoder
